2005-09-10, LA Tech,45,26,117,32,11,7,51,1,3,3,14,3,1,0,1601,3, Florida,251,49,224,24,14,9,85,1,0,12,13,3,4,3,1999,41
2005-09-10, San Diego State,164,33,253,44,27,3,30,2,1,11,15,7,1,1,1574,29, Air Force,272,67,231,12,10,4,40,1,0,17,15,7,2,1,2026,41
2005-09-10, Bowling Green,127,36,427,43,27,4,30,3,1,7,16,8,1,1,1663,40, Ball State,159,32,306,34,25,7,79,0,2,6,16,4,1,1,1937,31
2005-09-10, Idaho,100,30,390,31,19,11,105,1,1,5,12,5,2,1,1632,31, UNLV,193,41,250,34,22,11,101,0,1,12,13,5,2,2,1968,34
2005-09-10, Nicholls State,408,65,51,11,4,4,22,3,0,17,17,8,3,3,2159,31, Indiana,114,35,307,36,19,6,51,1,2,11,14,8,1,1,1441,35
2005-09-10, New Mexico,202,45,229,27,15,9,72,0,0,15,16,9,0,0,1749,45, Missouri,242,50,248,55,32,4,16,1,2,15,23,15,2,0,1851,35
2005-09-10, Montana,31,30,113,31,16,9,80,1,2,4,15,2,3,1,1838,14, Oregon,87,38,339,48,27,6,49,2,0,5,22,11,3,0,1762,47
2005-09-10, Notre Dame,104,44,140,30,19,4,21,1,0,9,15,4,0,0,1856,17, Michigan,114,29,223,44,19,4,28,1,1,6,18,5,4,2,1744,10
2005-09-10, South Carolina,43,23,236,34,22,7,43,0,2,3,12,4,1,0,1619,15, Georgia,238,49,112,17,8,9,90,0,2,13,10,3,1,0,1981,17
2005-09-10, FIU,135,38,214,42,26,9,76,2,0,5,17,7,3,1,2182,3, Texas Tech,135,23,518,45,36,15,128,0,0,10,6,3,1,1,1418,56
2005-09-10, Idaho State,157,36,291,38,25,8,51,0,4,7,17,9,0,0,1990,29, Kentucky,143,34,167,20,15,4,40,0,0,7,11,5,0,0,1610,41
2005-09-10, Appalachian St,133,33,178,35,22,7,71,1,0,6,16,6,1,0,1905,8, Kansas,207,38,228,29,19,7,90,0,1,9,11,4,1,1,1695,36
2005-09-10, Iowa,173,32,174,42,15,6,42,3,2,10,15,3,2,1,1415,3, Iowa State,169,55,154,24,14,3,24,0,1,13,15,4,0,0,2185,23
2005-09-10, VT,180,44,182,22,13,5,50,0,1,9,11,4,1,1,1810,45, Duke,13,35,22,18,5,9,68,0,1,5,14,3,1,0,1790,0
2005-09-10, Cal,286,39,271,27,17,6,65,0,1,13,10,6,0,0,1783,56, Washington,68,27,301,39,22,8,74,0,1,5,13,3,2,0,1817,17
2005-09-10, Rice,192,49,63,17,8,3,33,2,0,11,16,5,3,3,1827,21, UCLA,253,39,325,27,19,10,95,0,0,11,12,8,0,0,1773,63
2005-09-10, Stanford,181,35,235,33,21,3,35,1,0,10,12,4,0,0,1667,41, Navy,210,54,248,29,15,3,25,0,2,12,19,9,3,2,1933,38
2005-09-10, N Arizona,141,36,133,33,15,8,72,1,0,7,14,3,3,2,1610,12, Arizona,187,44,255,31,19,8,85,1,1,13,12,6,1,0,1990,31
2005-09-10, UNC,61,26,280,39,18,8,67,0,3,4,16,7,1,0,1620,21, Georgia Tech,122,33,353,48,25,9,75,0,0,4,20,10,1,0,1980,27
2005-09-10, Sam Houston,136,22,179,39,18,7,38,0,1,6,12,2,1,1,1548,10, Houston,293,57,206,31,19,8,74,2,1,20,18,11,3,2,2052,31
2005-09-10, Wake Forest,130,52,117,28,12,5,48,1,3,10,16,3,3,1,2120,3, Nebraska,120,30,114,33,14,10,86,0,1,3,16,5,2,1,1480,31
